s_no,route_long_name,stop_id
359,942DOWN,2292
360,942DOWN,46
361,942DOWN,47
362,942DOWN,48
363,942DOWN,108
364,942DOWN,109
365,942DOWN,110
366,942DOWN,2293
367,942DOWN,111
368,858STLDOWN,146
369,858STLDOWN,2032
370,858STLDOWN,149
371,858STLDOWN,488
372,858STLDOWN,489
373,858STLDOWN,490
374,858STLDOWN,491
375,858STLDOWN,492
376,858STLDOWN,493
377,858STLDOWN,1166
378,858STLDOWN,1167
379,858STLDOWN,1168
380,858STLDOWN,1246
381,858STLDOWN,1247
382,858STLDOWN,1248
383,858STLDOWN,1249
384,858STLDOWN,1250
385,858STLDOWN,1251
386,858STLDOWN,3139
387,858STLDOWN,3140
388,858STLDOWN,3141
389,858STLDOWN,2661
390,153DOWN,2077
391,153DOWN,2078
392,153DOWN,2079
393,153DOWN,2080
394,153DOWN,2081
395,153DOWN,2082
396,153DOWN,2083
397,153DOWN,2084
398,153DOWN,2085
399,153DOWN,2086
400,153DOWN,2087
401,153DOWN,2088
402,153DOWN,2089
403,153DOWN,2090
404,153DOWN,2091
405,153DOWN,2092
406,153DOWN,2093
407,153DOWN,2094
408,153DOWN,2095
409,153DOWN,1425
410,153DOWN,1426
411,153DOWN,1427
412,153DOWN,1428
413,153DOWN,1429
414,153DOWN,1430
415,153DOWN,1431
416,153DOWN,1432
417,153DOWN,1433
418,153DOWN,1434
419,153DOWN,1435
420,153DOWN,1436
421,153DOWN,533
422,153DOWN,534
423,153DOWN,535
424,153DOWN,1437
425,153DOWN,1438
426,153DOWN,1439
427,153DOWN,1440
428,153DOWN,1441
429,153DOWN,951
430,153DOWN,952
431,153DOWN,953
432,153DOWN,954
433,153DOWN,955
434,153DOWN,304
435,153DOWN,305
436,153DOWN,306
437,153DOWN,2097
438,153DOWN,2098
439,153DOWN,2099
440,153DOWN,2100
441,47ASTL2UP,1571
442,47ASTL2UP,452
443,47ASTL2UP,453
444,47ASTL2UP,454
445,47ASTL2UP,455
446,47ASTL2UP,456
447,47ASTL2UP,457
448,47ASTL2UP,458
449,708ADOWN,146
450,708ADOWN,148
451,708ADOWN,235
452,708ADOWN,236
453,708ADOWN,237
454,708ADOWN,238
455,708ADOWN,1352
456,708ADOWN,1353
